procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0  77784  17644   4152  25132    9   12    56    20  212  249  6  4 90  0
 0  0  77784  17628   4152  25132    0    0     0     0   71  135  0  0 100  0
 0  0  77784  17628   4160  25124    0    0     0    12   73  145  0  0 100  0
 0  0  77784  17628   4160  25132    0    0     0     0   74  138  0  0 100  0
 0  0  77784  17628   4160  25132    0    0     0     0   65  132  0  0 100  0
 0  0  77784  17628   4160  25132    0    0     0     0  143  191  1  1 98  0
 0  0  77784  17308   4160  25156    0    0     0     0 1433 1595  6 22 72  0
 3  0  77784  16200   4160  25240    0    0     0     0 1328 2254  7 19 75  0
 0  0  77784  15816   4160  25336    0    0     0     0 1198 2065  7 19 74  0
 1  0  77784  14732   4160  25340    0    0     0     4  751  198 35  6 60  0
 1  0  77764  15256   4160  25536   12    0    12     0 1161 2046 48 19 34  0
 1  0  77764  15656   4168  25504    0    0     0    36  812  286 43  8 49  0
 1  0  77724  15128   4168  25512   48    0    48     0  963  292 40 12 45  2
 1  0  77724  15032   4168  25536    0    0     0     0  843  256 44 11 46  0
 4  0  77724  14036   4168  25652    0    0     0     0 1277 1404 58 35  8  0
 1  0  77724  12888   4168  25688    0    0     0     0 1000  940 47 15 38  0
 1  0  77724  12756   4168  25716    0    0     0    16  920  604 44 11 45  0
 2  0  77724  13532   4176  25744    0    0     0    36 1043  792 49 12 39  0
 2  0  77724  13528   4176  25756    0    0     0     0 1381 1610 58 21 21  0
 3  0  77724  13576   4176  25764    0    0     0     0 2068 3202 45 26 28  0
 3  0  77724  12612   4176  25900    0    0     0     0 1376 2494 62 24 14  0
 2  0  77724  13460   4176  25900    0    0     0     0 1560 2290 56 23 21  0
 2  0  77724  13316   4184  25896    0    0     0    12 1316 1648 61 18 22  0
 2  0  77724  13292   4184  25908    0    0     0     0 1701 3435 54 21 26  0
 2  0  77724  13208   4184  25908    0    0     0     4 1636 3354 51 21 29  0
 1  0  77724  13184   4184  25908    0    0    40     0 1201 1486 47 17 35  1
 2  0  77724  13224   4184  25952    0    0     0     0 2074 7455 41 18 40  0
 1  0  77688  13056   4184  26024   64    0   124     0 1226 1784 44 19 37  0
 1  0  77688  13192   4192  26028    0    0     0    16  754  179 43 10 47  0
 1  0  77688  13160   4192  26032    0    0     0    36  694  168 44 10 47  0
 2  0  77688  13192   4192  26032    0    0     0     0  878  245 47 10 44  0
 1  0  77688  13232   4192  26048    0    0     0     0  788  293 45 13 42  0
 1  0  77688  13232   4192  26048    0    0     0     0  587  147 44  6 49  0
 2  0  77688  13084   4192  26060    0    0     0     0 1182  943 51 24 25  0
 1  0  77688  13052   4200  26116    0    0     0    12  917  654 48 11 40  0
 1  0  77688  13084   4200  26132    0    0     0     0  999  619 48 13 39  0
 1  0  77688  12952   4200  26168    0    0     0     0 1453 1682 55 22 23  0
 2  0  77688  12748   4200  26260    0    0     0     0 1776 1940 52 28 20  0
 2  0  77688  12692   4200  26392    0    0     0     0 1401 1922 53 21 26  0
 3  0  77684  12248   4212  26456    0    0     4  1248 1688 2058 65 32  3  0
 3  0  77644  12648   4212  26436   52    0    52     0 1315 1894 64 28  8  0
 4  0  77624  12520   4212  26452   36    0    36     0 1489 1497 71 23  7  0
 4  0  77608  11400   4212  26456    0    0     0     0 1749 1992 63 32  5  0
 1  0  77604  11064   4212  28056    0    0     0     0 1287 14583 55 22 23  0
 2  0  77600  10848   4220  28132    4    0     4    40 1550 1166 46 23 31  0
 1  0  77600  10312   4220  28292    0    0     0     0 1171 1890 50 26 25  0
 1  0  77600  11144   4220  28340    0    0     0     0  813  285 42 10 48  0
 3  0  77596  10868   4220  28348    0    0     0     0 1402  988 46 18 36  0
 1  0  77976  11944   3892  28148    0  412     0   412 1843 1500 51 25 20  3
 5  0  77944  11668   3900  28208   96    0    96    32 1090  563 42 16 41  1
^C 1  0  77940  10736   3900  28332   32    0    32     0 1407 1964 51 27 22  0
 1  0  77936  11504   3900  28372    0    0     0     0  956  356 44 12 45  0
 7  0  77928  11096   3900  28512    0    0     0     0 1559 1879 52 35 13  0
 1  0  77928  11588   3900  28628    0    0     0     0 1118 1029 48 20 32  0
 6  0  77928  11540   3908  28644    0    0     0    28 1323  520 45 25 30  0
 1  0  77928  11204   3908  28748    0    0     0     0 1545 2127 56 29 15  0
 3  0  77928  11384   3908  28844    0    0     0     0  983  357 46 14 40  0
 1  0  77928   9244   3908  29092    0    0     0     0 1636 1923 52 34 13  0
 1  0  77928  11348   3908  29080    0    0     0     0  777  270 43 13 44  0
 1  1  78168   7076   3816  29088    0  292     0   304 2029 1933 52 28 20  0
 1  0  78224  11252   3800  28916    0   84     0    84 1006  441 46 10 45  0
 2  0  78184  11332   3800  28924   32    0    32     0 1102  487 43 16 41  0
 1  0  78184   8552   3800  29092    0    0     0     0 1524 1880 54 29 17  0
 1  0  78184  11160   3800  29140    0    0     0     0  825  302 42 11 48  0
 1  0  78184  11192   3808  29136    0    0     0    48 1449  539 42 22 36  0
 1  0  78184   9940   3808  29316    0    0     0     0 1356 1603 46 26 28  0
 1  0  78184  11092   3808  29344    0    0     0     0  703  210 44 10 45  0
 4  0  78184  10932   3808  29344    0    0     0     0 1142  794 49 15 36  0
 1  0  78192  11080   3568  29372    4   12     4    12 1355 1306 49 24 28  0
 5  0  78192  11016   3584  29332    0    0     4    20 1384  783 46 24 30  0
 2  0  78188  12552   3584  27608    0    0     0     0 1366 1653 57 22 21  0
 5  0  78188  11720   3584  27704    0    0     0     0 1783 1784 60 33  7  0
 1  0  78188  12624   3584  27908    0    0     0     0 1076 1200 48 23 29  0
MEDIA
NR:  75 CPU:  61.9315


