procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  2  32488   7064    496  15744    0    1     9     4   64   90  1  1 98  0
 0  0  33520   8444    240  15448    0 1032    48  1032  116  187  0  0 93  7
 0  0  33520   8444    240  15448    0    0     0     0   69  133  0  0 100  0
 0  0  33520   8444    240  15448    0    0     0     0   78  140  0  0 100  0
 0  0  33520   8444    240  15448    0    0     0     0   64  137  0  0 100  0
 0  0  33520   8444    248  15448    0    0     0    20   68  145  0  0 100  0
 0  0  33520   8444    248  15448    0    0     0     0   65  144  0  0 100  0
 1  0  33520   8444    248  15452    0    0     0     0  730  818  5 13 82  0
 0  0  33520   8412    248  15496    0    0     0     0 1731 2094 15 39 45  0
 0  2  41804   6348    236  11484   60 8304   512  8572 1749 1829 10 27 53 11
 6  1  52408   8220    236  11128  128 10608   724 10748 6255 2676 15 39 27 19
 1  0  56148   8144    572  11440  736 3788  1880  3924 4408 2493 17 43 36  3
11  1  63536   7988    732  12784 5852 8012  8292  8412 8926 2977 44 36 17  2
 2  0  74116   8280    640  11496 24216 26792 24280 27012 6221 6040 10 38 10 42
 8  0  75992   9304    408  11400 22196 18400 22344 18500 4808 4632 34 19 28 20
 6  0  75940   8896    408  12016   32    0   304     0 2069 1661 56 44  0  0
 8  0  75832   8000    536  13244   60    0  1124     0 1950 3415 47 45  7  1
 8  0  77072   8288    544  13572  120 1400   296  1448 2502 2355 55 42  3  0
 2  1  82092   7188    360  13264  116 5092   116  6256 7493 2275 57 42  0  1
 2  0  85300   8560    352  13064    0 3220     0  3220 8736 2196 63 37  0  0
 4  0  86840   9480    352  13356  704 1852   728  1852 4089 2483 60 38  1  0
 7  0  86704   9796    352  13628  464    0   464     0 2075 2282 62 36  2  0
 1  0  86624  11676    484  11764   32    0   156    28 2006 1782 66 31  3  0
 2  0  86576  11380    484  12392  120    0   280     0 2189 2389 62 34  5  0
 8  0  86500  11700    484  12460  128    0   128     0 2546 3546 50 32 19  0
 2  0  86496  11112    484  12808    0    0     0     0 2617 2432 70 28  2  0
 8  0  86376  10112    484  13244  128    0   248     0 2475 2398 63 35  2  0
 6  0  86344  10032    492  13360   88    0    88    40 2489 2574 64 36  1  0
 8  0  86340   9588    492  13672    0    0     0     0 2229 2288 64 35  2  0
 7  0  86316   8928    492  14024   96    0   128     0 2233 2529 59 40  2  0
 7  0  86272   8580    492  14260   36    0    36     0 2276 2394 59 39  2  0
 5  0  86256   8232    492  14584   96    0    96     0 2539 2580 59 40  2  0
 8  0  86164   7572    500  14912  212    0   316    32 2440 2514 59 39  3  0
 8  1  86436   7292    488  14696    0  280    72   280 4024 2020 66 33  1  0
 7  0  87548   8528    348  14756    0 1112    48  1112 3461 2053 59 41  0  0
 8  0  89756   8280    364  14652  252 2316   268  5744 4862 2468 59 41  0  0
 9  0  89620  10136    364  15012  308    0   308     0 2386 2406 58 42  1  0
 6  0  89576  10316    372  15308   40    0    40    40 2285 2330 54 45  1  0
 7  0  89508  10044    372  15564    0    0     0     0 2016 2021 62 36  2  0
 6  0  89480   9732    372  15888   28    0    56     0 2493 2465 59 38  3  0
 6  0  89472   9200    372  16308    0    0   128     0 2481 2309 60 40  1  0
 8  0  89416   8852    372  16500   64    0    64     0 2400 2326 59 39  2  0
 5  0  89396   8184    380  16976   32    0   124    28 2321 2499 58 39  3  0
 4  0  89396   7832    380  17220    0    0     0     0 2448 2848 54 44  2  0
 4  0  89388   9192    380  15500   24    0    24     0 2296 2570 61 36  3  0
 7  0  89388   8944    380  15768    0    0     0     0 2510 2641 55 44  2  0
 7  0  89372   8664    380  16148   32    0    32     0 2413 2068 57 43  1  0
 4  0  89372   8340    388  16496    0    0     0    32 2433 2575 59 39  2  0
 4  0  89372   8272    388  16728    0    0     0     0 2468 3557 52 42  6  0
 7  0  89244   7944    388  17064    0    0     0     0 2732 2633 57 41  2  0
^C 6  0  89244   7888    388  17432    0    0     0     0 2328 2325 58 42  0  0
 7  1  90004   7832    388  17520  212  936   324   936 5267 2533 61 39  0  0
 7  0  90680   8112    396  17740  400  904   460   932 3092 2222 64 36  0  0
 9  1  91464   7132    448  18640  288  788  1308   788 3020 2692 60 40  1  1
 7  0  92348   8312    444  18428   48  908    52   908 3944 2361 60 40  0  0
 6  0  94116   8260    444  20184  116 1812  5736  5900 5681 2771 58 41  2  1
 5  0  94108   7932    444  20388    0    0     0     0 2461 2734 61 36  2  0
 6  0  94036   7832    452  21044   64    0   392    80 2371 2557 61 36  3  0
 6  0  94516   8220    436  20592    0  492   124   492 2693 2821 56 40  2  1
 9  1  95032   8048    392  19472 2460 1048  2556  1052 2782 2601 52 45  3  1
 5  0  94800   7732    392  19864  200    0   200     0 2544 3057 52 45  3  0
 4  0  94780   7608    392  20148    0    0     0     0 2351 2387 61 37  2  0
 5  0  95400   8332    396  20040  216  788   216   804 3117 3109 51 42  7  0
 4  0  95368   7952    396  20336   12    0    12     0 2637 2916 57 38  6  0
 6  0  95368   7828    396  20624    0    0     0     0 2615 3110 50 48  2  0
 5  0  95364   7744    396  20944    0    0     0     0 2564 3089 51 45  5  0
 3  0  95796   8308    388  20324    0  456     0   456 2871 3168 52 46  3  0
 4  0  95768   7996    396  20564    0    0     0    28 2468 2907 54 41  6  0
 1  0  95724   8020    396  20884   32    0    32     0 2768 3680 53 43  5  0
 5  0  95684   7868    396  21096   28    0    28     0 2254 2737 52 43  5  0
 7  0  95660   7620    396  21448   48    0    48     0 2379 2358 63 35  2  0
 3  0  96280   8572    368  20668    8  624     8   624 2640 2924 50 44  6  0
 5  0  96240   8380    376  20972   32    0    32    28 2380 2858 51 48  2  0
 4  0  96240   8256    376  21180    0    0     0     0 2164 2357 63 35  2  0
 4  0  96128   7624    376  21560  236    0   236     0 2300 2890 54 38  8  0
 1  0  96928   8304    180  21144    0  800    52   800 2902 2955 45 47  9  0
 6  0  96784   9528    180  19380  416    0   416     0 2441 3422 44 44 13  0
 5  0  96776   9248    192  19696   32    0    36    36 2569 3923 34 44 22  0
 1  0  96620   9156    192  19876  100    0   100     0 2340 3474 44 40 16  0
 6  0  96596   9124    192  19916    0    0     0     0 2517 3312 23 34 43  0
 0  0  96596   9084    192  20000    0    0     0     0 2907 3904 18 28 54  0
 4  0  96596   8728    192  20076    0    0     0     0 2838 4272 15 26 59  0
MEDIA
NR:  84 CPU:  82.1951
