procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  1  40820  12664   3316  21108    8   12    71    18  136  161  3  2 95  0
 0  0  40820  12540   3316  21096    0    0    20     0  107  141  0  1 99  0
 0  0  40820  12540   3316  21096    0    0     0     0   64  134  0  0 100  0
 0  0  40820  12540   3316  21096    0    0     0     0   60  134  0  0 100  0
 0  0  40820  12540   3316  21096    0    0     0     0   66  126  0  0 100  0
 0  0  40820  12540   3316  21096    0    0     0     0   63  133  0  0 100  0
 0  0  40820  12540   3316  21096    0    0     0    16  223  258  0  1 98  0
 1  0  40820  12540   3316  21100    0    0     0     0  249  317  0  3 96  0
 1  0  40820  12540   3316  21108    0    0     0     0  534  562  1  5 95  0
 0  0  40820  12540   3316  21120    0    0     0     0  930  729  1 12 87  0
 2  0  40820  12516   3316  21128    0    0     0     0 1452 1065  3 22 75  0
 0  0  40820  12508   3324  21144    0    0     0    40 1464 1104  5 20 75  0
 1  0  40820  12492   3324  21160    0    0     0     0 1440 1128  3 21 75  0
 0  0  40820  12352   3324  21180    0    0     0     0 1636 1435  5 28 66  0
 0  0  40820  12336   3324  21204    0    0     0     0 1775 1539  5 22 74  0
 0  0  43476   8396   2820  21240    0 2716     0  2716 2148 1709 11 28 56  5
 0  0  41232   8300   2828  21248  608    0   608    12 2215 2333 36 16 48  0
 0  0  41204   8340   2828  21268    0    0    52     0 2513 2159 19 26 55  0
 1  0  41140   8192   2828  21344   64    0    64     0 2411 2171 24 26 50  0
 0  0  41112   8168   2828  21384    0    0     0     0 2298 2032 17 26 57  0
 0  0  41084   8020   2828  21368   36    0    36    16 2395 2164 17 24 58  0
 3  0  41080   7864   2836  21456    0    0    32    44 2680 2485 15 30 54  0
 4  0  41076   7848   2836  21480    0    0     0     0 2027 1814 15 22 63  0
 6  0  41076   7824   2836  21504    0    0     0     0 2651 2208 12 27 61  0
 1  0  41076   7800   2836  21528    0    0     0     0 2519 2086 14 20 66  0
 1  0  40980   7488   2836  21648  152    0   244     0 2486 2315 15 26 59  0
 3  0  42004   8324   2716  21700    0 1028    48  1072 2744 2165 26 23 50  0
 1  0  42004   8308   2716  21744    0    0     0     0 2339 2001 12 28 59  0
 0  0  41988   8284   2716  21744   32    0    32     0 2539 2059 20 23 57  0
 0  0  41984   8128   2716  21792    0    0     0     0 2276 1878 15 21 64  0
 1  0  41976   7980   2716  21824    0    0     0     0 2342 2044 10 32 58  0
 1  0  41972   7964   2724  21840    0    0     0    56 2341 2035 16 23 61  0
 0  0  41968   7940   2724  21868    0    0     0     0 2299 1896 20 24 55  0
 0  0  41960   7916   2724  21900    0    0     0     0 2377 2078 15 32 53  0
 0  0  41944   7892   2724  21920   12    0    12     0 2129 1884 21 30 49  0
 1  0  41892   7720   2724  21944   32    0    32     0 2326 2166 16 24 60  0
 0  0  41892   7688   2732  21968    0    0     0   664 2564 2208 16 26 59  0
 0  0  41892   7664   2732  21992    0    0     0     0 2172 1894  5 23 72  0
 2  0  41892   7648   2732  22016    0    0     0     0 2154 1885  6 29 65  0
 2  0  41892   7624   2732  22044    0    0     0     0 2026 1766  6 34 60  0
 2  0  41892   7468   2732  22068    0    0     0     0 2592 2168  4 27 69  0
 0  0  41892   7444   2740  22092    0    0     0    40 2173 1845  5 27 68  0
 0  0  41892   7420   2740  22116    0    0     0     0 2149 1947  6 30 64  0
 5  0  41892   7404   2740  22140    0    0     0     0 2095 1817  6 28 66  0
 4  0  41892   7380   2740  22164    0    0     0     0 2073 1739  5 25 70  0
 0  0  43344   8216   2484  22232    0 1452     0  1452 2697 2300 11 30 58  1
 0  0  43344   8192   2492  22216    0    0     0    12 2198 1794  6 28 65  0
 4  0  43344   8216   2492  22240    0    0     0     0 2039 1771  5 30 65  0
 2  0  43344   8192   2492  22268    0    0     0     0 2455 2209  5 23 72  0
 2  0  43344   8168   2492  22288    0    0     0     0 2069 1639  4 24 72  0
^C 2  0  43344   8136   2492  22316    0    0     0     0 2337 2063  5 30 65  0
 0  0  43344   7988   2500  22344    0    0     0    12 2104 1828  6 29 65  0
 0  0  43344   7972   2500  22364    0    0     0     0 2359 1933  4 27 69  0
 2  0  43344   7940   2500  22392    0    0     0     0 2264 1949  4 29 67  0
 5  0  43344   7916   2500  22416    0    0     0     0 2175 1771  6 23 70  0
MEDIA
NR:  57 CPU:  30.8545


